Time,Airport,Altamount,Vashi,Virar
22,33.4,43.3,13.5,80.8
24,33.4,43.3,13.5,80.8
25,33.4,43.3,13.5,80.8
26,33.4,43.3,13.5,80.8
27,33.4,43.3,13.5,80.8
28,33.4,43.3,13.5,80.8
29,33.4,43.3,13.5,80.8
23,37.9,47.8,17.6,85.3
24,37.9,47.8,17.6,85.3
25,37.9,47.8,17.6,85.3
27,37.9,47.8,17.6,85.3
28,37.9,47.8,17.6,85.3
29,37.9,47.8,17.6,85.3
26,18.7,33.6,10,61.9
27,18.7,33.6,10,61.9
28,18.7,33.6,10,61.9
29,18.7,33.6,10,61.9
20,38.1,48,17.8,85.5
23,38.1,48,17.8,85.5
24,38.1,48,17.8,85.5
25,38.1,48,17.8,85.5
26,38.1,48,17.8,85.5
27,38.1,48,17.8,85.5
28,38.1,48,17.8,85.5
29,38.1,48,17.8,85.5
25,37.3,47.2,17.4,84.7
26,37.3,47.2,17.4,84.7
28,37.3,47.2,17.4,84.7
29,37.3,47.2,17.4,84.7
20,34.7,44.6,15,77.8
21,34.7,44.6,15,77.8
22,34.7,44.6,15,77.8
23,34.7,44.6,15,77.8
24,34.7,44.6,15,77.8
25,34.7,44.6,15,77.8
26,34.7,44.6,15,77.8
27,34.7,44.6,15,77.8
28,34.7,44.6,15,77.8
29,34.7,44.6,15,77.8
27,35.3,45.2,15.4,77
28,35.3,45.2,15.4,77
29,35.3,45.2,15.4,77
26,35.3,45.2,15.4,77
27,35.3,45.2,15.4,77
28,35.3,45.2,15.4,77
29,35.3,45.2,15.4,77
25,38.5,48.3,18.2,85.9
26,38.5,48.3,18.2,85.9
27,38.5,48.3,18.2,85.9
28,38.5,48.3,18.2,85.9
29,38.5,48.3,18.2,85.9
21,37.7,47.6,17.8,85.1
23,37.7,47.6,17.8,85.1
24,37.7,47.6,17.8,85.1
25,37.7,47.6,17.8,85.1
26,37.7,47.6,17.8,85.1
27,37.7,47.6,17.8,85.1
28,37.7,47.6,17.8,85.1
29,37.7,47.6,17.8,85.1
24,36.9,46.7,16.6,84.3
25,36.9,46.7,16.6,84.3
26,36.9,46.7,16.6,84.3
27,36.9,46.7,16.6,84.3
28,36.9,46.7,16.6,84.3
29,36.9,46.7,16.6,84.3
24,19.1,33.9,11.8,62.2
26,19.1,33.9,11.8,62.2
27,19.1,33.9,11.8,62.2
28,19.1,33.9,11.8,62.2
29,19.1,33.9,11.8,62.2
27,23.9,36.4,4.3,67.1
28,23.9,36.4,4.3,67.1
29,23.9,36.4,4.3,67.1
25,26.6,36.5,6.1,76.1
26,26.6,36.5,6.1,76.1
27,26.6,36.5,6.1,76.1
28,26.6,36.5,6.1,76.1
29,26.6,36.5,6.1,76.1
