Time,Airport,Altamount,Vashi,Virar,Malls
7,38.5,48.4,18.6,85.9,2
8,38.5,48.4,18.6,85.9,2
9,38.5,48.4,18.6,85.9,2
10,38.5,48.4,18.6,85.9,2
11,38.5,48.4,18.6,85.9,2
12,38.5,48.4,18.6,85.9,2
13,38.5,48.4,18.6,85.9,2
14,38.5,48.4,18.6,85.9,2
15,38.5,48.4,18.6,85.9,2
16,38.5,48.4,18.6,85.9,2
17,38.5,48.4,18.6,85.9,2
18,38.5,48.4,18.6,85.9,2
19,38.5,48.4,18.6,85.9,2
20,38.5,48.4,18.6,85.9,2
21,38.5,48.4,18.6,85.9,2
22,38.5,48.4,18.6,85.9,2
23,38.5,48.4,18.6,85.9,2
24,38.5,48.4,18.6,85.9,2
25,38.5,48.4,18.6,85.9,2
26,38.5,48.4,18.6,85.9,2
0,35.1,45,15.2,77.6,2
1,35.1,45,15.2,77.6,2
2,35.1,45,15.2,77.6,2
3,35.1,45,15.2,77.6,2
4,35.1,45,15.2,77.6,2
5,35.1,45,15.2,77.6,2
6,35.1,45,15.2,77.6,2
7,35.1,45,15.2,77.6,2
8,35.1,45,15.2,77.6,2
9,35.1,45,15.2,77.6,2
10,35.1,45,15.2,77.6,2
11,35.1,45,15.2,77.6,2
12,35.1,45,15.2,77.6,2
13,35.1,45,15.2,77.6,2
14,35.1,45,15.2,77.6,2
15,35.1,45,15.2,77.6,2
16,35.1,45,15.2,77.6,2
17,35.1,45,15.2,77.6,2
18,35.1,45,15.2,77.6,2
19,35.1,45,15.2,77.6,2
20,35.1,45,15.2,77.6,2
21,35.1,45,15.2,77.6,2
22,35.1,45,15.2,77.6,2
23,35.1,45,15.2,77.6,2
24,35.1,45,15.2,77.6,2
25,35.1,45,15.2,77.6,2
26,35.1,45,15.2,77.6,2
0,24,36.1,3.9,67.1,0
1,24,36.1,3.9,67.1,0
2,24,36.1,3.9,67.1,0
3,24,36.1,3.9,67.1,0
4,24,36.1,3.9,67.1,0
5,24,36.1,3.9,67.1,0
6,24,36.1,3.9,67.1,0
7,24,36.1,3.9,67.1,0
8,24,36.1,3.9,67.1,0
