Bias,Time,Airport,Altamount,Vashi,Virar,Malls
1,29,37.8,47.7,17.9,73.7,0
1,27,37.1,47,17.2,84.6,1
1,28,37.1,47,17.2,84.6,1
1,29,37.1,47,17.2,84.6,1
1,27,38.3,48.2,18.4,74,1
1,28,38.3,48.2,18.4,74,1
1,29,38.3,48.2,18.4,74,1
1,27,37.2,47.1,17.3,75.2,2
1,28,37.2,47.1,17.3,75.2,2
1,29,37.2,47.1,17.3,75.2,2
1,27,37.5,47.4,17.6,75,2
1,28,37.5,47.4,17.6,75,2
1,29,37.5,47.4,17.6,75,2
1,27,29.6,39.5,9.1,79.6,0
1,28,29.6,39.5,9.1,79.6,0
1,29,29.6,39.5,9.1,79.6,0
1,27,32.7,42.6,12.8,80.2,1
1,28,32.7,42.6,12.8,80.2,1
1,29,32.7,42.6,12.8,80.2,1
1,27,36.9,46.8,16.6,84.4,0
1,28,36.9,46.8,16.6,84.4,0
1,29,36.9,46.8,16.6,84.4,0
1,27,31.9,41.8,12,79.3,1
1,28,31.9,41.8,12,79.3,1
1,29,31.9,41.8,12,79.3,1
1,27,36.5,46.4,16.2,84,1
1,28,36.5,46.4,16.2,84,1
1,29,36.5,46.4,16.2,84,1
1,27,37,46.9,17.1,84.4,1
1,28,37,46.9,17.1,84.4,1
1,29,37,46.9,17.1,84.4,1
1,27,33,42.9,13,80.4,3
1,28,33,42.9,13,80.4,3
1,29,33,42.9,13,80.4,3
1,27,18.6,33.5,10.2,61.7,0
1,28,18.6,33.5,10.2,61.7,0
1,29,18.6,33.5,10.2,61.7,0
1,27,18,32.9,10.6,61.1,0
1,28,18,32.9,10.6,61.1,0
1,29,18,32.9,10.6,61.1,0
1,27,37.3,47.2,17.4,84.7,0
1,28,37.3,47.2,17.4,84.7,0
1,29,37.3,47.2,17.4,84.7,0
1,27,33.9,43.8,14,81.3,1
1,28,33.9,43.8,14,81.3,1
1,29,33.9,43.8,14,81.3,1
1,27,30.5,40.4,10.6,77.9,3
1,28,30.5,40.4,10.6,77.9,3
1,29,30.5,40.4,10.6,77.9,3
1,27,33.9,43.8,14,81.3,2
1,28,33.9,43.8,14,81.3,2
1,29,33.9,43.8,14,81.3,2
1,27,25.8,35.7,2.7,69.1,0
1,28,25.8,35.7,2.7,69.1,0
1,29,25.8,35.7,2.7,69.1,0
1,27,34.5,44.4,14.6,81.9,0
1,28,34.5,44.4,14.6,81.9,0
1,29,34.5,44.4,14.6,81.9,0
1,27,34.7,44.6,15,77.4,1
1,28,34.7,44.6,15,77.4,1
1,29,34.7,44.6,15,77.4,1
1,27,31.8,41.7,10.8,79.3,1
1,28,31.8,41.7,10.8,79.3,1
1,29,31.8,41.7,10.8,79.3,1
1,27,34.3,44.2,14.4,81.8,2
1,28,34.3,44.2,14.4,81.8,2
1,29,34.3,44.2,14.4,81.8,2
1,27,38.2,48.1,18.3,85.6,0
1,28,38.2,48.1,18.3,85.6,0
1,29,38.2,48.1,18.3,85.6,0
1,27,38.1,48,17.8,85.6,0
1,28,38.1,48,17.8,85.6,0
1,29,38.1,48,17.8,85.6,0
1,27,22.3,32.2,0.75,71.5,0
1,28,22.3,32.2,0.75,71.5,0
1,29,22.3,32.2,0.75,71.5,0
1,27,38.3,48.2,18.4,85.7,0
1,28,38.3,48.2,18.4,85.7,0
1,29,38.3,48.2,18.4,85.7,0
1,27,34.8,44.7,14.9,76.4,0
1,28,34.8,44.7,14.9,76.4,0
1,29,34.8,44.7,14.9,76.4,0
1,27,38.2,48.1,18.3,85.6,2
1,28,38.2,48.1,18.3,85.6,2
1,29,38.2,48.1,18.3,85.6,2
1,27,35.4,45.3,15.5,76.3,0
1,28,35.4,45.3,15.5,76.3,0
1,29,35.4,45.3,15.5,76.3,0
1,27,36.3,46.2,16,83.7,0
1,28,36.3,46.2,16,83.7,0
1,29,36.3,46.2,16,83.7,0
1,27,28.7,38.6,8.8,76.1,2
1,29,28.7,38.6,8.8,76.1,2
1,27,20,34.8,12.7,56.5,0
1,28,20,34.8,12.7,56.5,0
1,29,20,34.8,12.7,56.5,0
1,28,30.5,40.4,11.4,78,1
1,29,30.5,40.4,11.4,78,1
1,27,37.5,47.3,17.5,84.9,0
1,28,37.5,47.3,17.5,84.9,0
1,29,37.5,47.3,17.5,84.9,0
1,27,35.2,45.1,15.5,77.2,1
1,28,35.2,45.1,15.5,77.2,1
1,29,35.2,45.1,15.5,77.2,1
1,27,35.1,45,14.8,82.6,0
1,28,35.1,45,14.8,82.6,0
1,29,35.1,45,14.8,82.6,0
1,27,38.1,48,18.2,85.6,4
1,28,38.1,48,18.2,85.6,4
1,29,38.1,48,18.2,85.6,4
1,27,35.2,45.1,15.3,77.5,0
1,28,35.2,45.1,15.3,77.5,0
1,29,35.2,45.1,15.3,77.5,0
1,27,29,38.9,9.1,76.5,2
1,28,29,38.9,9.1,76.5,2
1,29,29,38.9,9.1,76.5,2
1,27,35.2,45.1,14.9,82.7,0
1,28,35.2,45.1,14.9,82.7,0
1,29,35.2,45.1,14.9,82.7,0
1,27,38.2,48.1,18.3,85.7,0
1,28,38.2,48.1,18.3,85.7,0
1,29,38.2,48.1,18.3,85.7,0
1,27,34.7,44.6,14.4,82.2,0
1,28,34.7,44.6,14.4,82.2,0
1,29,34.7,44.6,14.4,82.2,0
1,27,25.7,35.6,2.5,69.5,1
1,28,25.7,35.6,2.5,69.5,1
1,29,25.7,35.6,2.5,69.5,1
1,27,25.5,35.4,2.1,69.7,1
1,28,25.5,35.4,2.1,69.7,1
1,29,25.5,35.4,2.1,69.7,1
1,27,27,36.9,6.4,74,3
1,28,27,36.9,6.4,74,3
1,29,27,36.9,6.4,74,3
1,27,37.1,47,17.2,75.8,0
1,28,37.1,47,17.2,75.8,0
1,29,37.1,47,17.2,75.8,0
1,27,37.5,47.4,17.5,84.9,0
1,28,37.5,47.4,17.5,84.9,0
1,29,37.5,47.4,17.5,84.9,0
1,27,38.3,48.2,18.4,74.1,0
1,28,38.3,48.2,18.4,74.1,0
1,29,38.3,48.2,18.4,74.1,0
1,27,38.2,48.1,18.3,74.6,1
1,28,38.2,48.1,18.3,74.6,1
1,29,38.2,48.1,18.3,74.6,1
1,27,36.8,46.7,16.9,84.2,0
1,28,36.8,46.7,16.9,84.2,0
1,29,36.8,46.7,16.9,84.2,0
1,27,38.2,48.1,18.3,73.8,0
1,28,38.2,48.1,18.3,73.8,0
1,29,38.2,48.1,18.3,73.8,0
1,27,29.7,45.3,11.4,64,1
1,28,29.7,45.3,11.4,64,1
1,29,29.7,45.3,11.4,64,1
1,27,39,48.9,19.1,72.4,2
1,28,39,48.9,19.1,72.4,2
1,29,39,48.9,19.1,72.4,2
1,27,41.7,51.6,21.8,75.9,4
1,28,41.7,51.6,21.8,75.9,4
1,29,41.7,51.6,21.8,75.9,4
1,27,36.5,46.4,16.2,84,5
1,28,36.5,46.4,16.2,84,5
1,29,36.5,46.4,16.2,84,5
1,27,22.4,32.3,0,71.2,1
1,28,22.4,32.3,0,71.2,1
1,29,22.4,32.3,0,71.2,1
1,27,43.9,53.8,24,91.3,0
1,28,43.9,53.8,24,91.3,0
1,29,43.9,53.8,24,91.3,0
1,27,10.4,15.8,15.8,71.8,1
1,28,10.4,15.8,15.8,71.8,1
1,29,10.4,15.8,15.8,71.8,1
1,28,16,30.9,16.4,59,0
1,29,16,30.9,16.4,59,0
1,27,12.1,29.8,19.6,62.3,0
1,28,12.1,29.8,19.6,62.3,0
1,29,12.1,29.8,19.6,62.3,0
1,27,4.7,26.7,25.2,60.7,2
1,28,4.7,26.7,25.2,60.7,2
1,29,4.7,26.7,25.2,60.7,2
1,27,6.9,19,13.2,67.6,6
1,28,6.9,19,13.2,67.6,6
1,29,6.9,19,13.2,67.6,6
1,27,5.2,22.1,15.9,67.7,2
1,28,5.2,22.1,15.9,67.7,2
1,29,5.2,22.1,15.9,67.7,2
1,28,6.7,31.6,23.1,65.3,2
1,29,6.7,31.6,23.1,65.3,2
1,27,11.2,28.9,22.7,64.9,0
1,28,11.2,28.9,22.7,64.9,0
1,29,11.2,28.9,22.7,64.9,0
1,28,10.3,26.4,20.3,62.5,0
1,29,10.3,26.4,20.3,62.5,0
1,27,10.2,27.9,21.7,63.9,1
1,28,10.2,27.9,21.7,63.9,1
1,29,10.2,27.9,21.7,63.9,1
1,27,9.1,16.1,14.9,70.9,4
1,28,9.1,16.1,14.9,70.9,4
1,29,9.1,16.1,14.9,70.9,4
1,28,7.5,20.1,16.1,72.1,1
1,29,7.5,20.1,16.1,72.1,1
1,27,9,26.7,20.5,62.7,5
1,28,9,26.7,20.5,62.7,5
1,29,9,26.7,20.5,62.7,5
1,27,17.7,32.6,18.1,56.4,2
1,28,17.7,32.6,18.1,56.4,2
1,29,17.7,32.6,18.1,56.4,2
1,27,17.7,32.6,15.1,57.9,0
1,28,17.7,32.6,15.1,57.9,0
1,29,17.7,32.6,15.1,57.9,0
