OUT
9137
4335
8797
9987
8967
5652
6077
4547
6842
6205
6375
7310
8925
6332
3910
11177
10200
5397
6842
16362
5525
4590
6162
12282
10285
5057
8245
9435
6077
8415
5525
9350
5567
6375
7267
7565
4292
5610
6205
5567
10370
10242
8202
6332
6077
6460
7352
11305
9605
5950
7310
5950
7097
7182
7735
10412
9307
5142
7735
5525
6502
9477
10115
8500
5992
7437
8797
7522
9775
7820
9052
10072
7905
6545
5312
16022
6077
7267
6035
7607
5227
12452
8160
5567
5822
7905
5737
6077
7267
10880
5355
5950
5440
8712
11432
11390
6247
6460
7055
6247
6290
6587
5270
4207
4335
5355
12070
3995
15172
12792
13345
16532
17255
17255
30175
13940
13387
13430
11900
12537
14535
13812
13982
13812
11347
17935
17892
14407
13812
22142
13557
12622
16490
15342
19040
22440
18615
15172
13685
19592
17000
29112
29325
20187
12835
19167
18955
23460
47175
60732
53507
53677
37570
60222
33107
28347
34000
30472
33787
58990
28730
31492
28050
58055
22525
22100
45857
36720
34212
35402
34000
27497
36847
26605
32512
33660
36805
38080
18870
35020
35020
28347
37825
18190
34850
17637
23375
26647
4717
3145
3825
2507
2975
2975
2762
3315
3315
5355
5610
5822
7650
4760
5185
2762
3272
5355
6715
2635
2720
3230
2635
5440
3102
2465
5822
5227
3145
3570
1997
8202
8117
8627
10497
11347
9265
10200
7735
8500
12027
18147
10072
3485
7905
11007
7395
3655
8585
11177
7352
8457
9477
8075
11475
9732
10242
13260
7437
12537
7947
10752
9945
11177
7905
11347
10242
11135
14365
10072
8882
9605
10710
10497
8585
10880
18615
24182
6460
12835
18147
15300
19677
15300
17977
13260
14407
16490
11772
14620
13685
10030
9435
13260
14195
14322
14025
11857
14705
14280
14110
10157
14195
17170
25415
14832
15640
13217
12707
13897
12282
22865
12665
16617
13812
13175
8415
14237
19125
13727
12155
12027
21292
11687
13855
14875
13770
14577
17552
17340
6842
6502
7225
3145
4165
6502
4335
4250
6247
7182
6800
6970
6885
3740
4335
3740
3740
3740
3740
3485
2847
6375
7310
7692
9265
6970
4717
4505
4887
5270
4207
7480
6120
3825
3697
3867
4802
