0,19,33.9,11.8,62.2,1,7
1,19,33.9,11.8,62.2,1,7
2,19,33.9,11.8,62.2,1,7
3,19,33.9,11.8,62.2,1,7
4,19,33.9,11.8,62.2,1,7
5,19,33.9,11.8,62.2,1,7
6,19,33.9,11.8,62.2,1,7
7,19,33.9,11.8,62.2,1,7
8,19,33.9,11.8,62.2,1,7
9,19,33.9,11.8,62.2,1,7
10,19,33.9,11.8,62.2,1,7
11,19,33.9,11.8,62.2,1,7
12,19,33.9,11.8,62.2,1,7
13,19,33.9,11.8,62.2,1,7
14,19,33.9,11.8,62.2,1,7
15,19,33.9,11.8,62.2,1,7
16,19,33.9,11.8,62.2,1,7
17,19,33.9,11.8,62.2,1,7
18,19,33.9,11.8,62.2,1,7
19,19,33.9,11.8,62.2,1,7
20,19,33.9,11.8,62.2,1,7
21,19,33.9,11.8,62.2,1,7
22,19,33.9,11.8,62.2,1,7
23,19,33.9,11.8,62.2,1,7
24,19,33.9,11.8,62.2,1,7
25,19,33.9,11.8,62.2,1,7
26,19,33.9,11.8,62.2,1,7
27,19,33.9,11.8,62.2,1,7
28,19,33.9,11.8,62.2,1,7
29,19,33.9,11.8,62.2,1,7
18,7.7,25.8,28,95.7,0,0
19,7.7,25.8,28,95.7,0,0
20,7.7,25.8,28,95.7,0,0
21,7.7,25.8,28,95.7,0,0
22,7.7,25.8,28,95.7,0,0
23,7.7,25.8,28,95.7,0,0
24,7.7,25.8,28,95.7,0,0
25,7.7,25.8,28,95.7,0,0
26,7.7,25.8,28,95.7,0,0
27,7.7,25.8,28,95.7,0,0
28,7.7,25.8,28,95.7,0,0
29,7.7,25.8,28,95.7,0,0
0,21.6,36.5,7.8,64.8,0,1
1,21.6,36.5,7.8,64.8,0,1
2,21.6,36.5,7.8,64.8,0,1
3,21.6,36.5,7.8,64.8,0,1
4,21.6,36.5,7.8,64.8,0,1
5,21.6,36.5,7.8,64.8,0,1
6,21.6,36.5,7.8,64.8,0,1
7,21.6,36.5,7.8,64.8,0,1
8,21.6,36.5,7.8,64.8,0,1
9,21.6,36.5,7.8,64.8,0,1
10,21.6,36.5,7.8,64.8,0,1
11,21.6,36.5,7.8,64.8,0,1
12,21.6,36.5,7.8,64.8,0,1
13,21.6,36.5,7.8,64.8,0,1
14,21.6,36.5,7.8,64.8,0,1
15,21.6,36.5,7.8,64.8,0,1
16,21.6,36.5,7.8,64.8,0,1
17,21.6,36.5,7.8,64.8,0,1
18,21.6,36.5,7.8,64.8,0,1
19,21.6,36.5,7.8,64.8,0,1
20,21.6,36.5,7.8,64.8,0,1
21,21.6,36.5,7.8,64.8,0,1
22,21.6,36.5,7.8,64.8,0,1
23,21.6,36.5,7.8,64.8,0,1
24,21.6,36.5,7.8,64.8,0,1
25,21.6,36.5,7.8,64.8,0,1
26,21.6,36.5,7.8,64.8,0,1
27,21.6,36.5,7.8,64.8,0,1
28,21.6,36.5,7.8,64.8,0,1
29,21.6,36.5,7.8,64.8,0,1
27,22.8,37.7,5.4,65.9,0,1
28,22.8,37.7,5.4,65.9,0,1
29,22.8,37.7,5.4,65.9,0,1
17,26.9,36.8,6.3,73.7,0,3
18,26.9,36.8,6.3,73.7,0,3
19,26.9,36.8,6.3,73.7,0,3
20,26.9,36.8,6.3,73.7,0,3
23,26.9,36.8,6.3,73.7,0,3
26,26.9,36.8,6.3,73.7,0,3
27,26.9,36.8,6.3,73.7,0,3
28,26.9,36.8,6.3,73.7,0,3
29,26.9,36.8,6.3,73.7,0,3
2,37.5,47.4,17.6,78,0,1
3,37.5,47.4,17.6,78,0,1
4,37.5,47.4,17.6,78,0,1
5,37.5,47.4,17.6,78,0,1
6,37.5,47.4,17.6,78,0,1
7,37.5,47.4,17.6,78,0,1
8,37.5,47.4,17.6,78,0,1
9,37.5,47.4,17.6,78,0,1
10,37.5,47.4,17.6,78,0,1
11,37.5,47.4,17.6,78,0,1
12,37.5,47.4,17.6,78,0,1
13,37.5,47.4,17.6,78,0,1
14,37.5,47.4,17.6,78,0,1
15,37.5,47.4,17.6,78,0,1
16,37.5,47.4,17.6,78,0,1
17,37.5,47.4,17.6,78,0,1
18,37.5,47.4,17.6,78,0,1
19,37.5,47.4,17.6,78,0,1
20,37.5,47.4,17.6,78,0,1
21,37.5,47.4,17.6,78,0,1
22,37.5,47.4,17.6,78,0,1
23,37.5,47.4,17.6,78,0,1
24,37.5,47.4,17.6,78,0,1
25,37.5,47.4,17.6,78,0,1
26,37.5,47.4,17.6,78,0,1
27,37.5,47.4,17.6,78,0,1
28,37.5,47.4,17.6,78,0,1
29,37.5,47.4,17.6,78,0,1
0,37.6,47.5,17.7,85,2,9
1,37.6,47.5,17.7,85,2,9
2,37.6,47.5,17.7,85,2,9
3,37.6,47.5,17.7,85,2,9
4,37.6,47.5,17.7,85,2,9
5,37.6,47.5,17.7,85,2,9
6,37.6,47.5,17.7,85,2,9
7,37.6,47.5,17.7,85,2,9
8,37.6,47.5,17.7,85,2,9
9,37.6,47.5,17.7,85,2,9
10,37.6,47.5,17.7,85,2,9
11,37.6,47.5,17.7,85,2,9
12,37.6,47.5,17.7,85,2,9
13,37.6,47.5,17.7,85,2,9
14,37.6,47.5,17.7,85,2,9
15,37.6,47.5,17.7,85,2,9
16,37.6,47.5,17.7,85,2,9
17,37.6,47.5,17.7,85,2,9
18,37.6,47.5,17.7,85,2,9
19,37.6,47.5,17.7,85,2,9
20,37.6,47.5,17.7,85,2,9
21,37.6,47.5,17.7,85,2,9
22,37.6,47.5,17.7,85,2,9
